Gene	sgRNA	eff
Phatr3_J45784	Phatr3_J45784_554	1
Phatr3_J45784	Phatr3_J45784_209	1
Phatr3_J45784	Phatr3_J45784_274	1
Phatr3_J45784	Phatr3_J45784_347	1
Phatr3_J45414	Phatr3_J45414_150	1
Phatr3_J45414	Phatr3_J45414_232	1
Phatr3_J45414	Phatr3_J45414_228	1
Phatr3_J45414	Phatr3_J45414_481	1
Phatr3_J45414	Phatr3_J45414_151	1
Phatr3_J45414	Phatr3_J45414_370	1
Phatr3_J45414	Phatr3_J45414_314	1
Phatr3_J43154	Phatr3_J43154_279	1
Phatr3_J43154	Phatr3_J43154_223	1
Phatr3_J43154	Phatr3_J43154_181	1
Phatr3_J43154	Phatr3_J43154_108	1
Phatr3_J43154	Phatr3_J43154_302	1
Phatr3_J43154	Phatr3_J43154_350	1
Phatr3_J43154	Phatr3_J43154_159	1
Phatr3_J3137	Phatr3_J3137_115	1
Phatr3_J3137	Phatr3_J3137_313	1
Phatr3_J3137	Phatr3_J3137_516	1
Phatr3_J3137	Phatr3_J3137_463	1
Phatr3_J3137	Phatr3_J3137_82	1
Phatr3_J3137	Phatr3_J3137_732	1
Phatr3_J3137	Phatr3_J3137_913	1
Phatr3_EG01449	Phatr3_EG01449_156	1
Phatr3_EG01449	Phatr3_EG01449_270	1
Phatr3_EG01449	Phatr3_EG01449_294	1
Phatr3_EG01449	Phatr3_EG01449_191	1
Phatr3_EG01449	Phatr3_EG01449_60	1
Phatr3_EG01449	Phatr3_EG01449_265	1
Phatr3_EG01449	Phatr3_EG01449_247	1
Phatr3_J15355	Phatr3_J15355_728	1
Phatr3_J15355	Phatr3_J15355_898	1
Phatr3_J15355	Phatr3_J15355_477	1
Phatr3_J15355	Phatr3_J15355_483	1
Phatr3_J15355	Phatr3_J15355_94	1
Phatr3_J15355	Phatr3_J15355_564	1
Phatr3_J15355	Phatr3_J15355_148	1
Phatr3_J43320	Phatr3_J43320_273	1
Phatr3_J43320	Phatr3_J43320_379	1
Phatr3_J43320	Phatr3_J43320_97	1
Phatr3_J43320	Phatr3_J43320_283	1
Phatr3_J43320	Phatr3_J43320_534	1
Phatr3_J43320	Phatr3_J43320_386	1
Phatr3_J43320	Phatr3_J43320_183	1
Phatr3_J46353	Phatr3_J46353_350	1
Phatr3_J46353	Phatr3_J46353_106	1
Phatr3_J46353	Phatr3_J46353_116	1
Phatr3_J46353	Phatr3_J46353_157	1
Phatr3_J46353	Phatr3_J46353_226	1
Phatr3_J46353	Phatr3_J46353_657	1
Phatr3_J46353	Phatr3_J46353_398	1
Phatr3_J49425	Phatr3_J49425_586	1
Phatr3_J49425	Phatr3_J49425_145	1
Phatr3_J49425	Phatr3_J49425_867	1
Phatr3_J49425	Phatr3_J49425_108	1
Phatr3_J49425	Phatr3_J49425_114	1
Phatr3_J49425	Phatr3_J49425_754	1
Phatr3_J49425	Phatr3_J49425_363	1
Phatr3_J19324	Phatr3_J19324_671	1
Phatr3_J19324	Phatr3_J19324_465	1
Phatr3_J19324	Phatr3_J19324_565	1
Phatr3_J19324	Phatr3_J19324_363	1
Phatr3_J19324	Phatr3_J19324_156	1
Phatr3_J19324	Phatr3_J19324_258	1
Phatr3_J19324	Phatr3_J19324_968	1
Phatr3_EG01047	Phatr3_EG01047_91	1
Phatr3_EG01047	Phatr3_EG01047_152	1
Phatr3_EG01047	Phatr3_EG01047_67	1
Phatr3_J35692	Phatr3_J35692_150	1
Phatr3_J35692	Phatr3_J35692_283	1
Phatr3_J35692	Phatr3_J35692_622	1
Phatr3_J35692	Phatr3_J35692_487	1
