Gene_ID,Comparison,Delta_Beta,FDR,Significance_Tier
Phatr3_J30770,t1_Fe_deplete_vs_t1_Mn_deplete,-2.3890946666666664,1.203694249926856e-07,Tier 1 (Hard)
Phatr3_J44202,t1_Fe_deplete_vs_t1_Mn_deplete,-2.38436,1.278518517722205e-07,Tier 1 (Hard)
Phatr3_EG01628,t1_Fe_deplete_vs_t1_Fe_replete,-2.3771733333333334,0.0016797455380579,Tier 1 (Hard)
Phatr3_EG00474,t1_Fe_deplete_vs_t1_Fe_replete,-2.34675,0.0020751564100069,Tier 1 (Hard)
Phatr3_J44722,t1_Fe_deplete_vs_t1_Mn_deplete,-2.3454533333333334,2.3667642450771774e-07,Tier 1 (Hard)
Phatr3_J17198,t1_Fe_deplete_vs_t1_Mn_deplete,-2.3440466666666664,2.3807457741516681e-07,Tier 1 (Hard)
Phatr3_J43957,t1_Fe_deplete_vs_t1_Mn_deplete,-2.34083,2.4663474181713377e-07,Tier 1 (Hard)
Phatr3_J13951,t1_Fe_deplete_vs_t1_Mn_deplete,-2.3383366666666667,2.487523391853097e-07,Tier 1 (Hard)
Phatr3_J10479,t1_Fe_deplete_vs_t1_Mn_deplete,-2.3375633333333337,2.487523391853097e-07,Tier 1 (Hard)
Phatr3_J49431,t1_Fe_deplete_vs_t1_Mn_deplete,-2.3373166666666667,2.487523391853097e-07,Tier 1 (Hard)
Phatr3_EG00604,t1_Fe_deplete_vs_t1_Mn_deplete,-2.327933333333333,2.847503770553317e-07,Tier 1 (Hard)
Phatr3_J45920,t1_Fe_deplete_vs_t1_Fe_replete,-2.3239266666666665,0.0023202508793942,Tier 1 (Hard)
Phatr3_J45227,t1_Fe_deplete_vs_t1_Mn_deplete,-2.3200933333333333,3.179145964395072e-07,Tier 1 (Hard)
Phatr3_J43946,t1_Fe_deplete_vs_t1_Mn_deplete,-2.3088164,3.748275926986833e-07,Tier 1 (Hard)
Phatr3_EG00753,t1_Fe_deplete_vs_t1_Fe_replete,-2.3018266666666665,0.0026413187033069,Tier 1 (Hard)
Phatr3_J47178,t1_Fe_deplete_vs_t1_Mn_deplete,-2.293876333333334,4.680007282885449e-07,Tier 1 (Hard)
Phatr3_J54465,t1_Fe_deplete_vs_t1_Mn_deplete,-2.2707966666666666,6.630440891982566e-07,Tier 1 (Hard)
Phatr3_J28684,t1_Fe_deplete_vs_t1_Mn_deplete,-2.2679666666666667,6.752994865021672e-07,Tier 1 (Hard)
Phatr3_J35670,t1_Fe_deplete_vs_t1_Mn_deplete,-2.267799,6.752994865021672e-07,Tier 1 (Hard)
Phatr3_J45250,t1_Fe_deplete_vs_t1_Mn_deplete,-2.263022666666667,7.118233554860404e-07,Tier 1 (Hard)
Phatr3_J51110,t1_Fe_deplete_vs_t1_Mn_deplete,-2.2626466666666665,7.118233554860404e-07,Tier 1 (Hard)
Phatr3_J43148,t1_Fe_deplete_vs_t1_Mn_deplete,-2.2595633333333334,7.367782567350126e-07,Tier 1 (Hard)
Phatr3_J18945,t1_Fe_deplete_vs_t1_Mn_deplete,-2.236865666666666,1.033556198244412e-06,Tier 1 (Hard)
Phatr3_EG01079,t1_Fe_deplete_vs_t1_Mn_deplete,-2.2255000000000003,1.2149513376060273e-06,Tier 1 (Hard)
Phatr3_J48350,t1_Fe_deplete_vs_t1_Mn_deplete,-2.2154100000000003,1.3996648226695512e-06,Tier 1 (Hard)
Phatr3_J21535,t1_Fe_deplete_vs_t1_Mn_deplete,-2.21145,1.467886259346548e-06,Tier 1 (Hard)
Phatr3_J42676,t1_Fe_deplete_vs_t1_Mn_deplete,-2.20918,1.500375425756857e-06,Tier 1 (Hard)
Phatr3_J47883,t1_Fe_deplete_vs_t1_Mn_deplete,-2.200539066666667,1.6898740995863192e-06,Tier 1 (Hard)
Phatr3_J44137,t1_Fe_deplete_vs_t1_Mn_deplete,-2.19199,1.8829498484645853e-06,Tier 1 (Hard)
Phatr3_J15214,t1_Fe_deplete_vs_t1_Mn_deplete,-2.191776,1.8829498484645853e-06,Tier 1 (Hard)
Phatr3_J8185,t1_Fe_deplete_vs_t1_Mn_deplete,-2.17773,2.299421771672592e-06,Tier 1 (Hard)
Phatr3_J45533,t1_Fe_deplete_vs_t1_Mn_deplete,-2.176343333333333,2.319925272923721e-06,Tier 1 (Hard)
Phatr3_J50344,t1_Fe_deplete_vs_t1_Fe_replete,-2.16885,0.0057084390599699,Tier 1 (Hard)
Phatr3_J44301,t1_Fe_deplete_vs_t1_Mn_deplete,-2.1648033333333334,2.7257908618447942e-06,Tier 1 (Hard)
Phatr3_J12674,t1_Fe_deplete_vs_t1_Mn_deplete,-2.1634366666666667,2.749722587454552e-06,Tier 1 (Hard)
Phatr3_J12737,t1_Fe_deplete_vs_t1_Mn_deplete,-2.162577,2.753268134962165e-06,Tier 1 (Hard)
Phatr3_J50029,t1_Fe_deplete_vs_t1_Mn_deplete,-2.1612733333333334,2.775515765077427e-06,Tier 1 (Hard)
Phatr3_J31486,t1_Fe_deplete_vs_t1_Mn_deplete,-2.1602566666666667,2.786310317791378e-06,Tier 1 (Hard)
Phatr3_J31994,t1_Fe_deplete_vs_t1_Mn_deplete,-2.153246666666667,3.05884397751773e-06,Tier 1 (Hard)
