Gene_ID,Comparison,Delta_Beta,FDR,Significance_Tier
Phatr3_EG01258,t3_NO3_recovery_vs_t1_NH4_growth,-1.0272450000000002,0.038325778900347,Tier 2 (Lenient)
Phatr3_EG02594,t2_N_stress_vs_t1_NH4_growth,-1.021415,0.0199900660605528,Tier 2 (Lenient)
Phatr3_J37845,t2_N_stress_vs_t1_NH4_growth,-1.02037525,0.0199900660605528,Tier 2 (Lenient)
Phatr3_J48040,t3_NO3_recovery_vs_t2_N_stress,-1.0144025,0.0011634828693396,Tier 2 (Lenient)
Phatr3_EG02586,t2_N_stress_vs_t1_NH4_growth,-1.01354,0.0218232436953082,Tier 2 (Lenient)
Phatr3_EG01922,t2_N_stress_vs_t1_NH4_growth,-1.011795,0.021955697377101,Tier 2 (Lenient)
Phatr3_J46030,t3_NO3_recovery_vs_t1_NH4_growth,-1.009472,0.0465184398845741,Tier 2 (Lenient)
Phatr3_EG01436,t3_NO3_recovery_vs_t3_NH4_recovery,-1.007543,0.0,Tier 2 (Lenient)
Phatr3_EG01252,t3_NO3_recovery_vs_t1_NH4_growth,-1.00743975,0.0465184398845741,Tier 2 (Lenient)
Phatr3_EG01232,t2_N_stress_vs_t1_NH4_growth,-1.005985,0.0232594624228009,Tier 2 (Lenient)
Phatr3_J16719,t2_N_stress_vs_t1_NH4_growth,-1.005532,0.0232594624228009,Tier 2 (Lenient)
Phatr3_EG00937,t3_NO3_recovery_vs_t2_N_stress,-1.0048225,0.0012943766540214,Tier 2 (Lenient)
