Gene,sgRNA,t1_NH4_growth|beta,t1_NH4_growth|z,t1_NH4_growth|p-value,t1_NH4_growth|fdr,t1_NH4_growth|wald-p-value,t1_NH4_growth|wald-fdr,t2_N_stress|beta,t2_N_stress|z,t2_N_stress|p-value,t2_N_stress|fdr,t2_N_stress|wald-p-value,t2_N_stress|wald-fdr,t3_NH4_recovery|beta,t3_NH4_recovery|z,t3_NH4_recovery|p-value,t3_NH4_recovery|fdr,t3_NH4_recovery|wald-p-value,t3_NH4_recovery|wald-fdr,t3_NO3_recovery|beta,t3_NO3_recovery|z,t3_NO3_recovery|p-value,t3_NO3_recovery|fdr,t3_NO3_recovery|wald-p-value,t3_NO3_recovery|wald-fdr,t2_N_stress_vs_t1_NH4_growth_delta_beta,t2_N_stress_vs_t1_NH4_growth_fdr,t3_NH4_recovery_vs_t2_N_stress_delta_beta,t3_NH4_recovery_vs_t2_N_stress_fdr,t3_NH4_recovery_vs_t3_NO3_recovery_delta_beta,t3_NH4_recovery_vs_t3_NO3_recovery_fdr,t3_NO3_recovery_vs_t1_NH4_growth_delta_beta,t3_NO3_recovery_vs_t1_NH4_growth_fdr,t3_NO3_recovery_vs_t2_N_stress_delta_beta,t3_NO3_recovery_vs_t2_N_stress_fdr,t3_NO3_recovery_vs_t3_NH4_recovery_delta_beta,t3_NO3_recovery_vs_t3_NH4_recovery_fdr,Significance_Tier
Phatr3_EG01699,1,0.337101,0.097962,0.92959,0.9941,0.92196,1,-0.753705,-0.99045,0.13489,0.74162,0.32196,1,-0.882165,-2.9089,0.12335,0.66196,0.0036266,0.096205,-0.18969875,-0.60121,0.78937,0.96067,0.5477,0.66748,-1.090806,0.0084922636367718,-0.12846,0.9971994410052348,-0.69246625,0.0,-0.52679975,0.7407917369450401,0.5640062499999999,0.410604891352981,0.69246625,0.0,Tier 2 (Lenient)
Phatr3_EG00717,1,0.528725,0.21803,0.58726,0.93526,0.82741,1,-0.531015,-0.60732,0.2768,0.82702,0.54364,1,-0.665585,-1.9321,0.25043,0.77462,0.053348,0.20014,-0.37178,-1.1888,0.5397,0.8945,0.23453,0.36186,-1.05974,0.0135359698971798,-0.1345699999999999,0.9971994410052348,-0.293805,0.0117817644396412,-0.900505,0.1171505667093898,0.159235,0.9915773966668434,0.293805,0.0117817644396412,Tier 2 (Lenient)
Phatr3_EG01275,2,0.263612,0.082192,0.96526,0.996,0.93449,1,-0.78317,-1.7708,0.017001,0.50521,0.076587,1,0.08603225,0.61934,0.93231,0.98833,0.5357,0.68261,0.0068802499999999,0.31575,0.8882,0.98319,0.75219,0.83365,-1.046782,0.0163139698787871,0.8692022500000001,0.0182235403932216,0.079152,0.9760379172644944,-0.25673175,0.9897947920591554,0.7900502500000001,0.0418919842851231,-0.079152,0.9760379172644944,Tier 2 (Lenient)
Phatr3_J39221,1,0.46185,0.23017,0.7109,0.96135,0.81796,1,-0.5737650000000001,-0.90764,0.24072,0.80537,0.36407,1,-0.53309,-2.1829,0.35781,0.83986,0.029044,0.1774,-0.4455525,-2.006,0.45373,0.8658,0.044861,0.12867,-1.0356150000000002,0.0188714245312451,0.0406750000000001,0.9971994410052348,-0.0875374999999999,0.9690739518168352,-0.9074025,0.1101991871186525,0.1282125,0.992740214821575,0.0875374999999999,0.9690739518168352,Tier 2 (Lenient)
Phatr3_EG01759,1,0.0423382499999999,-0.065439,0.65995,0.94819,0.94782,1,-0.9922225,-1.3644,0.046657,0.65573,0.17243,1,-0.4558525,-1.5699,0.43273,0.86827,0.11643,0.27,-0.626925,-2.483,0.26618,0.77958,0.013029,0.081216,-1.03456075,0.0188714245312451,0.53637,0.4707018780297619,0.1710724999999999,0.510273241515451,-0.66926325,0.5033311911414574,0.3652975,0.8692255486888443,-0.1710724999999999,0.510273241515451,Tier 2 (Lenient)
Phatr3_EG02594,1,0.39449,0.12103,0.83671,0.98538,0.90367,1,-0.626925,-0.72978,0.21045,0.79053,0.46552,1,-0.8647575000000001,-2.5483,0.12924,0.66615,0.010826,0.1474,-0.18465125,-0.51571,0.79734,0.96222,0.60605,0.71826,-1.021415,0.0199900660605528,-0.2378325000000001,0.9685914531777564,-0.6801062500000001,0.0,-0.5791412499999999,0.6702513939261057,0.4422737499999999,0.7274862861359772,0.6801062500000001,0.0,Tier 2 (Lenient)
Phatr3_J37845,1,0.32078775,0.078067,0.95336,0.996,0.93777,1,-0.6995875,-0.8311,0.16045,0.76193,0.40592,1,-0.30549,-0.93041,0.62063,0.92068,0.35216,0.52015,-0.775025,-2.9089,0.14122,0.67371,0.0036275,0.058214,-1.02037525,0.0199900660605528,0.3940975,0.7952039525873474,0.469535,1.419531177345353e-07,-1.09581275,0.0168048650923283,-0.0754374999999999,0.9989761735295324,-0.469535,1.419531177345353e-07,Tier 2 (Lenient)
Phatr3_EG02586,1,0.05953,-0.049178,0.68054,0.95373,0.96078,1,-0.95401,-1.125,0.052374,0.65573,0.26058,1,-0.95401,-2.6619,0.097058,0.62784,0.0077709,0.13372,-0.53309,-1.74,0.36493,0.8356,0.081855,0.17916,-1.01354,0.0218232436953082,0.0,1.0,-0.42092,6.004309470712714e-06,-0.5926199999999999,0.6601972018817387,0.42092,0.7641954154080022,0.42092,6.004309470712714e-06,Tier 2 (Lenient)
Phatr3_EG01922,1,0.5934425,0.32026,0.46499,0.9071,0.74877,1,-0.4183525,-0.56615,0.37046,0.86305,0.57129,1,-1.145615,-3.6725,0.049365,0.55226,0.00024023,0.01752,-0.723015,-2.9226,0.18047,0.71476,0.0034709,0.05749,-1.011795,0.021955697377101,-0.7272625,0.0926792988494096,-0.4226000000000001,5.419797896107544e-06,-1.3164574999999998,0.000740774015473,-0.3046624999999999,0.9391498029303308,0.4226000000000001,5.419797896107544e-06,Tier 2 (Lenient)
Phatr3_EG01232,1,0.61702,0.25598,0.41777,0.90613,0.79797,1,-0.388965,-0.39232,0.39122,0.87227,0.69482,1,0.389322,1.0203,0.35756,0.83965,0.30759,0.47441,0.3703035,1.1068,0.37432,0.83963,0.26838,0.39922,-1.005985,0.0232594624228009,0.7782870000000001,0.0627915723170931,0.0190185,0.994967307567788,-0.2467165,0.9897947920591554,0.7592685,0.0601421672271367,-0.0190185,0.994967307567788,Tier 2 (Lenient)
Phatr3_J16719,1,0.2889795,0.067609,0.99575,0.99881,0.9461,1,-0.7165525,-0.94524,0.15639,0.75901,0.34454,1,-0.42669,-1.4665,0.47681,0.88389,0.14251,0.29846,-0.3365775,-1.2294,0.58927,0.90915,0.21891,0.34456,-1.005532,0.0232594624228009,0.2898625,0.9308523348100786,-0.0901125,0.9638049674129956,-0.6255569999999999,0.5849516707326126,0.379975,0.8356831557320739,0.0901125,0.9638049674129956,Tier 2 (Lenient)
