Gene	sgRNA	t1_NH4_growth|beta	t1_NH4_growth|z	t1_NH4_growth|p-value	t1_NH4_growth|fdr	t1_NH4_growth|wald-p-value	t1_NH4_growth|wald-fdr	t2_N_stress|beta	t2_N_stress|z	t2_N_stress|p-value	t2_N_stress|fdr	t2_N_stress|wald-p-value	t2_N_stress|wald-fdr	t3_NH4_recovery|beta	t3_NH4_recovery|z	t3_NH4_recovery|p-value	t3_NH4_recovery|fdr	t3_NH4_recovery|wald-p-value	t3_NH4_recovery|wald-fdr	t3_NO3_recovery|beta	t3_NO3_recovery|z	t3_NO3_recovery|p-value	t3_NO3_recovery|fdr	t3_NO3_recovery|wald-p-value	t3_NO3_recovery|wald-fdr
Phatr3_J12053	7	-0.038504	-0.22456	0.4488	0.9071	0.82232	1	-0.063604	-0.46557	0.35548	0.85821	0.64152	1	0.22247	1.5865	0.94848	0.98833	0.11263	0.26596	0.24211	1.733	0.86371	0.97823	0.083093	0.18092
Phatr3_J54688	7	-0.032398	-0.13698	0.51055	0.91589	0.89105	1	0.03475	0.18567	0.90334	0.99029	0.8527	1	0.15898	0.82788	0.77636	0.95962	0.40774	0.57364	0.23776	1.2439	0.8516	0.97346	0.21355	0.33871
Phatr3_J47345	7	-0.036252	-0.24972	0.47093	0.90853	0.80281	1	0.032835	0.28787	0.89134	0.98878	0.77345	1	-0.24293	-2.0815	0.11479	0.65489	0.037388	0.18451	0.0095783	0.082716	0.36682	0.83635	0.93408	0.96217
Phatr3_J42897	7	-0.069849	-0.31938	0.20072	0.80685	0.74944	1	0.06851	0.38759	0.88512	0.98697	0.69832	1	0.29154	1.575	0.8565	0.97714	0.11525	0.26851	0.20034	1.0769	0.75951	0.95639	0.2815	0.41299
Phatr3_J46339	7	0.082667	0.18993	0.27713	0.85862	0.84937	1	0.19087	0.53141	0.28877	0.83348	0.59513	1	0.76625	2.055	0.043363	0.52792	0.039875	0.18759	0.75366	2.0122	0.097777	0.608	0.044203	0.12756
Phatr3_J35395	7	-0.02937	-0.099745	0.54295	0.92525	0.92055	1	0.096203	0.40347	0.72061	0.95489	0.6866	1	0.36953	1.4789	0.64281	0.92677	0.13918	0.29516	0.7037	2.8537	0.14178	0.67371	0.0043219	0.062289
Phatr3_J49877	7	-0.0097062	-0.041301	0.77095	0.97258	0.96706	1	-0.13797	-0.72417	0.11887	0.73234	0.46896	1	0.15713	0.79581	0.77141	0.95898	0.42614	0.58934	0.22248	1.1321	0.81359	0.96426	0.2576	0.38781
Phatr3_EG00448	7	-0.076226	-0.2674	0.16463	0.77272	0.78916	1	0.015655	0.067192	0.78236	0.96529	0.94643	1	0.7781	3.2115	0.038449	0.50556	0.0013202	0.055421	0.66947	2.738	0.18126	0.71476	0.0061821	0.067432
Phatr3_EG02476	7	0.079295	0.21262	0.29858	0.87205	0.83162	1	0.031029	0.10166	0.87974	0.98548	0.91903	1	0.71235	2.2516	0.07103	0.5922	0.024349	0.17352	0.82335	2.6101	0.054647	0.5316	0.0090527	0.073828
Phatr3_J9570	7	0.067026	0.2189	0.38268	0.89311	0.82673	1	0.047891	0.19713	0.98619	0.99893	0.84372	1	0.38291	1.5409	0.60669	0.91881	0.12334	0.27737	0.49459	1.9982	0.48785	0.87334	0.045691	0.12946
Phatr3_J46314	7	-0.053489	-0.24184	0.31481	0.87426	0.8089	1	-0.16919	-0.96787	0.0666	0.67559	0.33311	1	-0.010033	-0.056159	0.39895	0.85591	0.95522	0.98172	-0.27903	-1.57	0.086727	0.5918	0.11641	0.22465
Phatr3_J44882	7	0.16651	0.35081	0.03661	0.59892	0.72573	1	0.19533	0.52066	0.27335	0.82409	0.6026	1	0.63195	1.6558	0.13726	0.67273	0.097765	0.25025	0.75268	1.9788	0.098629	0.61045	0.047837	0.13246
Phatr3_J46372	7	-0.01432	-0.055631	0.71551	0.96263	0.95564	1	0.11138	0.54388	0.63653	0.94447	0.58653	1	0.2343	1.1123	0.98109	0.99545	0.26603	0.43121	0.38347	1.8304	0.76245	0.95649	0.067192	0.15881
Phatr3_J50164	7	-0.036295	-0.15637	0.4706	0.90845	0.87574	1	0.057836	0.3107	0.95075	0.99436	0.75603	1	0.072846	0.37705	0.56685	0.9094	0.70614	0.81649	0.15516	0.80716	0.65085	0.92441	0.41958	0.55024
Phatr3_J47263	7	0.011344	0.050073	0.96526	0.996	0.96006	1	-0.036415	-0.19963	0.48489	0.90689	0.84177	1	0.41683	2.1742	0.52163	0.89633	0.029692	0.17756	0.46657	2.4328	0.55264	0.89944	0.014983	0.083158
Phatr3_J45338	7	-0.019095	-0.094182	0.65881	0.94787	0.92496	1	0.035044	0.21158	0.90542	0.99038	0.83244	1	0.11251	0.65308	0.65991	0.93123	0.51371	0.66511	0.12894	0.75012	0.59256	0.91075	0.45318	0.58175
Phatr3_J40368	7	-0.055726	-0.19433	0.29694	0.87052	0.84592	1	0.033296	0.14145	0.8943	0.98896	0.88752	1	0.66119	2.6629	0.1098	0.64368	0.0077477	0.13372	0.72502	2.9197	0.12143	0.64356	0.0035035	0.05749
Phatr3_EG00097	7	0.014574	0.070902	0.92598	0.99396	0.94348	1	-0.11033	-0.65203	0.18748	0.78007	0.51438	1	0.07373	0.39754	0.56861	0.9094	0.69097	0.80463	-0.016135	-0.085882	0.32775	0.8128	0.93156	0.96021
Phatr3_J47541	7	0.051987	0.13259	0.50826	0.91589	0.89452	1	0.098926	0.31068	0.7046	0.95165	0.75605	1	0.65856	2.0089	0.11219	0.65015	0.044546	0.19201	0.78825	2.413	0.073788	0.57139	0.015821	0.084542
Phatr3_EG00909	7	0.11411	0.21026	0.13492	0.75142	0.83347	1	0.38968	0.9198	0.013641	0.47719	0.35768	1	0.64348	1.5046	0.12568	0.66326	0.13242	0.28696	0.71164	1.6673	0.13372	0.66399	0.095458	0.19777
Phatr3_J9280	7	-0.021586	-0.13081	0.62924	0.9438	0.89592	1	0.0027361	0.020618	0.70415	0.95165	0.98355	1	-0.28813	-2.0708	0.087061	0.61451	0.038377	0.18556	-0.12405	-0.89831	0.19666	0.72777	0.36902	0.5017
Phatr3_J50049	7	0.03774	0.099548	0.65386	0.9473	0.9207	1	0.088813	0.28969	0.76366	0.96406	0.77205	1	0.41638	1.3147	0.52289	0.89633	0.1886	0.34825	0.75443	2.4062	0.097208	0.60688	0.01612	0.084925
Phatr3_J47224	7	-0.049052	-0.28566	0.35139	0.88649	0.77514	1	-0.066761	-0.49396	0.34152	0.85301	0.62133	1	-0.17683	-1.2748	0.16964	0.70291	0.20237	0.36298	-0.13799	-1.0005	0.18343	0.71711	0.31708	0.45039
Phatr3_EG01801	7	-0.12742	-0.65133	0.025293	0.54424	0.51483	1	-0.11537	-0.75107	0.17401	0.77826	0.45261	1	0.20154	1.293	0.89141	0.98337	0.19602	0.35636	0.19142	1.2358	0.73743	0.94999	0.21655	0.34193
Phatr3_J49442	7	-0.046239	-0.26963	0.37559	0.89196	0.78744	1	-0.11101	-0.80724	0.18547	0.78007	0.41953	1	-0.20486	-1.4204	0.14432	0.67707	0.1555	0.31221	-0.093724	-0.6538	0.22884	0.75485	0.51324	0.63671
Phatr3_J43611	7	-0.092762	-0.46355	0.096055	0.70949	0.64297	1	-0.1555	-0.97549	0.086359	0.69966	0.32932	1	0.1364	0.82959	0.71834	0.94555	0.40677	0.57288	0.16892	1.0323	0.68352	0.93256	0.30192	0.43447
Phatr3_J6066	7	0.24667	0.61718	0.0044801	0.27071	0.53712	1	0.25015	0.77676	0.13609	0.74239	0.4373	1	0.49662	1.4891	0.34368	0.83381	0.13646	0.29185	0.4571	1.3657	0.57581	0.90472	0.17204	0.29249
Phatr3_J15479	7	-0.054069	-0.24778	0.31011	0.87398	0.80431	1	-0.05266	-0.3057	0.4049	0.87868	0.75983	1	-0.31602	-1.7961	0.072802	0.5928	0.072486	0.22011	-0.24177	-1.3853	0.10669	0.6277	0.16595	0.28553
Phatr3_J33658	7	-0.061295	-0.22721	0.25538	0.84427	0.82026	1	0.092593	0.38806	0.74111	0.95793	0.69797	1	0.56519	2.1503	0.22416	0.75052	0.031533	0.18016	0.51724	1.9371	0.43745	0.86278	0.052734	0.13906
Phatr3_Jdraft1331	7	-0.096924	-0.49771	0.083116	0.69362	0.61869	1	-0.0068672	-0.043449	0.64833	0.94824	0.96534	1	0.35036	2.1052	0.69514	0.9423	0.035277	0.18363	0.43024	2.5913	0.64273	0.92184	0.009562	0.074252
Phatr3_J11781	7	0.020045	0.083242	0.85843	0.98951	0.93366	1	-0.07278	-0.37069	0.31581	0.84585	0.71086	1	0.60887	3.0023	0.16469	0.69799	0.0026795	0.083293	0.5202	2.5601	0.43093	0.85822	0.010465	0.075976
Phatr3_J49085	7	-0.0019343	-0.0093251	0.86802	0.98951	0.99256	1	-0.02512	-0.144	0.54498	0.92543	0.8855	1	0.13524	0.69396	0.71543	0.94548	0.48771	0.64283	-0.083258	-0.41312	0.24106	0.76188	0.67952	0.77752
Phatr3_J47738	7	-0.045865	-0.17492	0.37894	0.89283	0.86114	1	-0.10192	-0.48184	0.21235	0.79202	0.62992	1	0.51899	2.3741	0.30159	0.81122	0.017591	0.1673	0.65815	3.025	0.19519	0.72567	0.002486	0.051351
Phatr3_J32550	7	-0.086305	-0.37817	0.11937	0.7429	0.7053	1	-0.095285	-0.51813	0.23362	0.80228	0.60437	1	0.08406	0.43855	0.59256	0.91488	0.66099	0.78218	0.1201	0.62882	0.57424	0.90472	0.52946	0.65177
Phatr3_J48310	7	0.067503	0.26493	0.3792	0.89283	0.79106	1	0.064414	0.31962	0.91046	0.9913	0.74925	1	0.28726	1.3956	0.86887	0.97784	0.16283	0.31978	0.4026	1.966	0.71235	0.94247	0.0493	0.13422
Phatr3_EG01314	7	-0.011371	-0.04147	0.75048	0.96757	0.96692	1	0.082263	0.37371	0.80177	0.97058	0.70862	1	0.43894	1.948	0.46852	0.88024	0.051421	0.19825	0.48553	2.1614	0.50868	0.88324	0.030661	0.10802
Phatr3_J43168	7	0.040979	0.13111	0.61884	0.94103	0.89569	1	0.18048	0.73181	0.32457	0.84842	0.46429	1	0.50977	2.0309	0.31832	0.8198	0.042266	0.18991	0.58825	2.3509	0.30084	0.79527	0.018728	0.090129
Phatr3_J54289	7	-0.014712	-0.086216	0.71043	0.96132	0.93129	1	-0.072471	-0.53612	0.3169	0.84611	0.59188	1	-0.12801	-0.91565	0.22228	0.74997	0.35985	0.52786	-0.11597	-0.83321	0.2057	0.73771	0.40473	0.53623
Phatr3_EG01641	7	0.00036482	0.0018155	0.89761	0.98999	0.99855	1	0.022217	0.13729	0.82322	0.97616	0.8908	1	0.0996	0.57819	0.62909	0.92192	0.56313	0.70511	0.15585	0.90519	0.65244	0.92527	0.36537	0.49832
Phatr3_J18481	7	-0.084119	-0.40097	0.12762	0.74435	0.68844	1	-0.15322	-0.9108	0.090421	0.70604	0.3624	1	-0.017942	-0.10292	0.38504	0.8522	0.91802	0.9599	-0.0065036	-0.03749	0.34112	0.81913	0.97009	0.98871
Phatr3_J49277	7	0.024491	0.080348	0.8053	0.97952	0.93596	1	0.21954	0.91953	0.20396	0.78915	0.35782	1	0.34481	1.4235	0.71033	0.94413	0.1546	0.31107	0.48656	2.0182	0.50632	0.88265	0.043567	0.12657
Phatr3_J36794	7	0.076911	0.32898	0.31419	0.87426	0.74217	1	-0.13972	-0.71648	0.11545	0.73152	0.4737	1	0.22955	1.0908	0.96832	0.994	0.27535	0.44135	0.19316	0.91281	0.74166	0.95186	0.36134	0.49446
Phatr3_J33194	7	0.043216	0.20014	0.59532	0.93571	0.84137	1	0.076649	0.44363	0.83454	0.97832	0.65731	1	-0.0044762	-0.02466	0.40889	0.86104	0.98033	0.99767	0.16601	0.92056	0.67655	0.93048	0.35728	0.49078
Phatr3_J47535	7	-0.025844	-0.12142	0.58113	0.93405	0.90336	1	0.065143	0.38757	0.90583	0.99038	0.69834	1	0.1792	1.0397	0.83051	0.9746	0.29848	0.46533	0.2363	1.3765	0.84824	0.97253	0.16866	0.28843
Phatr3_J46394	7	-0.025804	-0.12842	0.58151	0.93405	0.89782	1	-0.097866	-0.61697	0.22546	0.79888	0.53725	1	0.11162	0.68115	0.65736	0.93076	0.49577	0.64988	0.20704	1.2689	0.77534	0.95842	0.20446	0.32937
Phatr3_J8141	7	0.0093809	0.047389	0.9892	0.99804	0.9622	1	-0.03342	-0.20569	0.50003	0.91365	0.83704	1	0.28701	1.6298	0.86946	0.97784	0.10314	0.25589	0.22304	1.2504	0.81511	0.96459	0.21117	0.33605
Phatr3_J36600	7	-0.072018	-0.38887	0.18731	0.79496	0.69737	1	-0.0055136	-0.037543	0.65605	0.94824	0.97005	1	-0.15564	-1.03	0.19116	0.72824	0.30299	0.47041	-0.05594	-0.37249	0.27417	0.78334	0.70953	0.80136
Phatr3_J44441	7	0.0061331	0.037422	0.97075	0.996	0.97015	1	-0.11968	-0.92944	0.16195	0.76379	0.35266	1	0.13279	1.0075	0.70939	0.94406	0.31371	0.48057	0.15654	1.1923	0.6544	0.92582	0.23315	0.36029
Phatr3_J41358	7	-0.092075	-0.4169	0.098111	0.71311	0.67675	1	-0.1585	-0.88207	0.081912	0.69641	0.37774	1	0.15245	0.81721	0.75955	0.9557	0.41381	0.57924	0.067154	0.36097	0.46759	0.87197	0.71812	0.80801
Phatr3_J44383	7	-0.11474	-0.54978	0.042377	0.62401	0.58247	1	-0.039636	-0.23644	0.46851	0.90479	0.81309	1	0.11283	0.65229	0.66083	0.93168	0.51421	0.66533	0.2918	1.6982	0.99363	0.99859	0.089476	0.18974
Phatr3_J9731	7	0.019149	0.087581	0.87026	0.98951	0.93021	1	-0.044525	-0.25678	0.44402	0.89604	0.79735	1	0.19091	1.0728	0.8625	0.97714	0.28337	0.44987	0.33218	1.8769	0.89982	0.98539	0.060538	0.15017
Phatr3_J34905	7	-0.01102	-0.061632	0.75496	0.96779	0.95086	1	-0.14256	-1.0037	0.10995	0.72931	0.31552	1	0.23212	1.6001	0.97516	0.99485	0.10958	0.26273	0.45956	3.1892	0.56942	0.90472	0.0014265	0.038876
Phatr3_J6151	7	-0.049535	-0.17678	0.34744	0.88398	0.85968	1	0.23081	1.0385	0.17568	0.77826	0.29904	1	0.39241	1.7252	0.58256	0.91333	0.084499	0.23375	0.52001	2.2949	0.43124	0.85822	0.021737	0.094636
Phatr3_EG01642	3	0.033298	0.044386	0.861	0.98951	0.9646	1	0.33581	0.57607	0.16352	0.76539	0.56457	1	0.7642	1.3028	0.14629	0.67939	0.19265	0.35264	0.75159	1.2835	0.22195	0.75157	0.1993	0.32353
